educationClimateIndex,advancedPlacement,beforeandafterschoolprgms,blueribbonschool,charterschools,giftedandtalented,internationbaccalaureate,magnetschool,sitebased,collegebound,voctech,adulteducationclasses,adultother,specialeducation,alterantiveprogram,yearroundclasses,ESL,Povertylevel,Instructionalexpensepupil,AYPschool,OBInstID
BELOW AVERAGE,Y,N,N,N,N,N,N,N,91,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5669,N,577405
ABOVE AVERAGE,Y,N,N,N,Y,N,N,Y,95,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,6840,Y,1524889
BELOW AVERAGE,N,N,N,N,N,N,N,N,77,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,4795,N,579881
BELOW AVERAGE,Y,N,N,N,Y,N,N,N,85,Y,N,,Y,Y,N,Y,6 - 15.9 PERCENT,5227,N,579738
ABOVE AVERAGE,Y,N,N,N,Y,N,N,N,96,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,9590,Y,577625
AVERAGE,N,Y,N,N,N,N,N,N,87,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,7736,N,579544
ABOVE AVERAGE,Y,N,N,N,Y,N,N,N,96,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5763,N,4032500
ABOVE AVERAGE,Y,N,N,N,Y,N,N,Y,0,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5763,N,4016245
ABOVE AVERAGE,Y,N,N,N,Y,N,N,N,99,Y,Y,Y,Y,N,Y,Y,6 - 15.9 PERCENT,9624,N,577675
ABOVE AVERAGE,Y,Y,N,N,Y,N,N,Y,96,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,7081,N,580517
UNCLASSIFIED,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,6 - 15.9 PERCENT,65011,N,5700103534
ABOVE AVERAGE,Y,N,N,N,Y,N,N,Y,97,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,6840,N,579207
ABOVE AVERAGE,Y,Y,N,N,Y,N,N,Y,81,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,6945,N,580311
AVERAGE,N,N,N,N,Y,N,N,N,95,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5763,N,579996
AVERAGE,Y,N,N,N,Y,N,N,N,98,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5763,N,4032512
BELOW AVERAGE,Y,Y,N,N,Y,N,N,N,84,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,6261,N,577546
BELOW AVERAGE,N,N,N,N,Y,N,N,N,0,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,5897,N,578136
BELOW AVERAGE,Y,N,N,N,N,N,N,N,89,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,6261,N,577900
BELOW AVERAGE,Y,N,N,N,Y,N,N,N,86,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,5897,N,578148
LOW,N,Y,N,N,Y,N,N,N,85,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,4425,N,578291
BELOW AVERAGE,Y,Y,N,N,Y,N,N,N,84,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,6261,N,577546
ABOVE AVERAGE,Y,N,N,N,N,N,N,N,97,Y,N,,Y,Y,N,Y,6 - 15.9 PERCENT,7200,N,578447
ABOVE AVERAGE,Y,Y,N,N,Y,N,N,N,0,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,7060,N,578576
BELOW AVERAGE,Y,Y,N,N,N,N,N,N,91,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5904,N,577986
AVERAGE,N,Y,N,N,N,N,N,N,91,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,5236,Y,578825
AVERAGE,N,Y,N,N,N,N,N,N,87,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,7736,N,579544
BELOW AVERAGE,Y,Y,N,N,Y,N,N,N,84,Y,N,,Y,N,N,N,6 - 15.9 PERCENT,6261,N,577546
ABOVE AVERAGE,N,Y,N,N,Y,N,N,Y,0,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,5763,N,4945866
ABOVE AVERAGE,Y,Y,N,N,Y,N,N,Y,81,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,6945,N,580311
